Title="Input data for auralization"
Variables="Freq","Level"
##########################################
# retarded time	=      4.6907
# source time	=      0.1000
# speed of sound=    342.2432
# xpos	=  -1484.1000
# ypos	=      0.1000
# alt	=    516.9000
# xobs  =      0.0000
# yobs  =      0.0000
# zobs  =      1.2000
# phix  =     17.0955
# phiy  =      0.0000
# dist  =   1571.1459
# distxy=   1484.1000
# vel   =     74.8000
# n1    =     50.8310
##########################################
ZONE T="time=        4.69 airframe broadband" I=31 F=POINT
     50.6528    115.7542
     63.3160    116.0390
     79.7781    116.3725
    101.3055    116.7616
    126.6319    117.1680
    158.2899    117.5377
    202.6111    117.6714
    253.2639    117.6164
    316.5798    117.3297
    398.8906    116.8195
    506.5277    116.1141
    633.1597    115.3949
    797.7812    114.7752
   1013.0555    114.1850
   1266.3193    113.5526
   1582.8991    112.9928
   2026.1109    112.1334
   2532.6386    111.0919
   3165.7983    110.0574
   3988.9058    108.9924
   5065.2773    107.8974
   6331.5966    106.8794
   7977.8117    105.8293
  10130.5545    104.7477
  12663.1931    103.7407
  15828.9914    102.7363
  20261.1090    101.6281
  25326.3863    100.6286
ZONE T="time=        4.94 engine broadband (no buzzsaw)" I=31 F=POINT
     25.3264     92.8597
     31.6580     92.8597
     39.8891     92.8597
     50.6528     92.8597
     63.3160     92.8597
     79.7781     93.2179
    101.3055     93.4313
    126.6319     93.4305
    158.2899     93.3666
    202.6111     93.2768
    253.2639     93.4836
    316.5798     94.5838
    398.8906     96.9079
    506.5277    100.0450
    633.1597    103.0979
    797.7812    106.0804
   1013.0555    108.8433
   1266.3193    111.0876
   1582.8991    112.9926
   2026.1109    114.6988
   2532.6386    115.8763
   3165.7983    116.7066
   3988.9058    117.2002
   5065.2773    117.3184
   6331.5966    117.0688
   7977.8117    116.4436
  10130.5545    115.4052
  12663.1931    114.0752
  15828.9914    112.3973
  20261.1090    110.1359
  25326.3863    107.7255
ZONE T="time=        4.94 engine buzzsaw noise" I=31 F=POINT
     25.3264      4.0103
     31.6580      4.0103
     39.8891      4.0103
     50.6528      4.0103
     63.3160      4.0103
     79.7781      4.0103
    101.3055      4.0103
    126.6319      4.0103
    158.2899      4.0103
    202.6111      4.0103
    253.2639      4.0103
    316.5798      4.0103
    398.8906      4.0103
    506.5277      4.0103
    633.1597      4.0103
    797.7812      4.0103
   1013.0555      4.0103
   1266.3193      4.0103
   1582.8991      4.0103
   2026.1109      4.0103
   2532.6386      4.0103
   3165.7983      4.0103
   3988.9058      4.0103
   5065.2773      4.0103
   6331.5966      4.0103
   7977.8117      4.0103
  10130.5545      4.0103
  12663.1931      4.0103
  15828.9914      4.0103
  20261.1090      4.0103
  25326.3863      4.0103
ZONE T="time=        4.94  fan harmonics" I=5 F=POINT
   1930.2117    117.0375
   3860.4235    117.9198
   5790.6352    107.3086
   7720.8469    101.3086
   9651.0587     95.3086
##########################################
# retarded time	=      5.0116
# source time	=      0.5000
# speed of sound=    342.2465
# xpos	=  -1456.0000
# ypos	=      0.1000
# alt	=    515.2000
# xobs  =      0.0000
# yobs  =      0.0000
# zobs  =      1.2000
# phix  =     17.3604
# phiy  =      0.0000
# dist  =   1544.0635
# distxy=   1456.0000
# vel   =     74.8000
# n1    =     50.8284
##########################################
ZONE T="time=        5.01 airframe broadband" I=31 F=POINT
     25.3173    115.0559
     31.6466    115.2445
     39.8748    115.4692
     50.6346    115.7363
     63.2933    116.0209
     79.7495    116.3545
    101.2692    116.7437
    126.5865    117.1502
    158.2332    117.5201
    202.5385    117.6532
    253.1731    117.5971
    316.4664    117.3091
    398.7476    116.7993
    506.3462    116.0960
    632.9327    115.3798
    797.4952    114.7629
   1012.6924    114.1749
   1265.8655    113.5439
   1582.3318    112.9854
   2025.3847    112.1268
   2531.7309    111.0858
   3164.6637    110.0516
   3987.4762    108.9869
   5063.4618    107.8922
   6329.3273    106.8744
   7974.9524    105.8245
  10126.9237    104.7431
  12658.6546    103.7362
  15823.3183    102.7320
  20253.8474    101.6238
  25317.3092    100.6244
ZONE T="time=        5.01 engine broadband (no buzzsaw)" I=31 F=POINT
     25.3173     92.8594
     31.6466     92.8594
     39.8748     92.8594
     50.6346     92.8594
     63.2933     92.8594
     79.7495     93.2175
    101.2692     93.4307
    126.5865     93.4299
    158.2332     93.3663
    202.5385     93.2779
    253.1731     93.4888
    316.4664     94.5963
    398.7476     96.9278
    506.3462    100.0692
    632.9327    103.1239
    797.4952    106.1071
   1012.6924    108.8702
   1265.8655    111.1146
   1582.3318    113.0196
   2025.3847    114.7258
   2531.7309    115.9033
   3164.6637    116.7336
   3987.4762    117.2271
   5063.4618    117.3453
   6329.3273    117.0956
   7974.9524    116.4704
  10126.9237    115.4320
  12658.6546    114.1019
  15823.3183    112.4240
  20253.8474    110.1626
  25317.3092    107.7522
ZONE T="time=        5.01 engine buzzsaw noise" I=31 F=POINT
     25.3173      4.0103
     31.6466      4.0103
     39.8748      4.0103
     50.6346      4.0103
     63.2933      4.0103
     79.7495      4.0103
    101.2692      4.0103
    126.5865      4.0103
    158.2332      4.0103
    202.5385      4.0103
    253.1731      4.0103
    316.4664      4.0103
    398.7476      4.0103
    506.3462      4.0103
    632.9327      4.0103
    797.4952      4.0103
   1012.6924      4.0103
   1265.8655      4.0103
   1582.3318      4.0103
   2025.3847      4.0103
   2531.7309      4.0103
   3164.6637      4.0103
   3987.4762      4.0103
   5063.4618      4.0103
   6329.3273      4.0103
   7974.9524      4.0103
  10126.9237      4.0103
  12658.6546      4.0103
  15823.3183      4.0103
  20253.8474      4.0103
  25317.3092      4.0103
ZONE T="time=        5.01  fan harmonics" I=5 F=POINT
   1929.4846    117.0829
   3858.9691    117.9294
   5788.4537    107.3484
   7717.9382    101.3484
   9647.4228     95.3484
##########################################
# retarded time	=      5.0854
# source time	=      0.6000
# speed of sound=    342.2474
# xpos	=  -1446.7000
# ypos	=      0.1000
# alt	=    514.7000
# xobs  =      0.0000
# yobs  =      0.0000
# zobs  =      1.2000
# phix  =     17.6493
# phiy  =      0.0000
# dist  =   1535.1297
# distxy=   1446.7000
# vel   =     74.8000
# n1    =     50.8276
##########################################
ZONE T="time=        5.09 airframe broadband" I=31 F=POINT
     25.3074    115.0382
     31.6343    115.2264
     39.8592    115.4507
     50.6149    115.7175
     63.2686    116.0020
     79.7184    116.3355
    101.2297    116.7248
    126.5372    117.1315
    158.1715    117.5016
    202.4595    117.6340
    253.0743    117.5769
    316.3429    117.2875
    398.5921    116.7782
    506.1487    116.0770
    632.6859    115.3640
    797.1842    114.7499
   1012.2974    114.1643
   1265.3717    113.5348
   1581.7147    112.9775
   2024.5948    112.1198
   2530.7435    111.0792
   3163.4293    110.0455
   3985.9210    108.9811
   5061.4870    107.8867
   6326.8587    106.8691
   7971.8420    105.8194
  10122.9739    104.7382
  12653.7174    103.7314
  15817.1467    102.7273
  20245.9478    101.6192
  25307.4348    100.6199
ZONE T="time=        5.09 engine broadband (no buzzsaw)" I=31 F=POINT
     25.3074     92.8593
     31.6343     92.8593
     39.8592     92.8593
     50.6149     92.8593
     63.2686     92.8593
     79.7184     93.2173
    101.2297     93.4304
    126.5372     93.4296
    158.1715     93.3663
    202.4595     93.2793
    253.0743     93.4945
    316.3429     94.6098
    398.5921     96.9492
    506.1487    100.0952
    632.6859    103.1517
    797.1842    106.1356
   1012.2974    108.8990
   1265.3717    111.1435
   1581.7147    113.0484
   2024.5948    114.7546
   2530.7435    115.9321
   3163.4293    116.7624
   3985.9210    117.2559
   5061.4870    117.3740
   6326.8587    117.1244
   7971.8420    116.4991
  10122.9739    115.4607
  12653.7174    114.1306
  15817.1467    112.4527
  20245.9478    110.1913
  25307.4348    107.7808
ZONE T="time=        5.09 engine buzzsaw noise" I=31 F=POINT
     25.3074      4.0103
     31.6343      4.0103
     39.8592      4.0103
     50.6149      4.0103
     63.2686      4.0103
     79.7184      4.0103
    101.2297      4.0103
    126.5372      4.0103
    158.1715      4.0103
    202.4595      4.0103
    253.0743      4.0103
    316.3429      4.0103
    398.5921      4.0103
    506.1487      4.0103
    632.6859      4.0103
    797.1842      4.0103
   1012.2974      4.0103
   1265.3717      4.0103
   1581.7147      4.0103
   2024.5948      4.0103
   2530.7435      4.0103
   3163.4293      4.0103
   3985.9210      4.0103
   5061.4870      4.0103
   6326.8587      4.0103
   7971.8420      4.0103
  10122.9739      4.0103
  12653.7174      4.0103
  15817.1467      4.0103
  20245.9478      4.0103
  25307.4348      4.0103
ZONE T="time=        5.09  fan harmonics" I=5 F=POINT
   1928.7025    117.1316
   3857.4050    117.9399
   5786.1076    107.3912
   7714.8101    101.3912
   9643.5126     95.3912
##########################################
# retarded time	=      5.2590
# source time	=      0.8000
# speed of sound=    342.2486
# xpos	=  -1437.3000
# ypos	=      0.1000
# alt	=    514.1000
# xobs  =      0.0000
# yobs  =      0.0000
# zobs  =      1.2000
# phix  =     17.2559
# phiy  =      0.0000
# dist  =   1526.0726
# distxy=   1437.3000
# vel   =     74.8000
# n1    =     50.8267
##########################################
ZONE T="time=        5.26 airframe broadband" I=31 F=POINT
     25.3208    115.0624
     31.6510    115.2511
     39.8802    115.4759
     50.6416    115.7431
     63.3020    116.0277
     79.7605    116.3612
    101.2831    116.7504
    126.6039    117.1568
    158.2549    117.5266
    202.5663    117.6600
    253.2078    117.6043
    316.5098    117.3169
    398.8023    116.8069
    506.4156    116.1028
    633.0195    115.3854
    797.6046    114.7675
   1012.8313    114.1787
   1266.0391    113.5472
   1582.5488    112.9882
   2025.6625    112.1293
   2532.0782    111.0881
   3165.0977    110.0538
   3988.0231    108.9889
   5064.1563    107.8941
   6330.1954    106.8763
   7976.0462    105.8262
  10128.3126    104.7448
  12660.3908    103.7378
  15825.4884    102.7336
  20256.6252    101.6254
  25320.7815    100.6259
ZONE T="time=        5.26 engine broadband (no buzzsaw)" I=31 F=POINT
     25.3208     92.8569
     31.6510     92.8569
     39.8802     92.8569
     50.6416     92.8569
     63.3020     92.8569
     79.7605     93.2151
    101.2831     93.4283
    126.6039     93.4274
    158.2549     93.3637
    202.5663     93.2748
    253.2078     93.4846
    316.5098     94.5900
    398.8023     96.9194
    506.4156    100.0596
    633.0195    103.1137
    797.6046    106.0966
   1012.8313    108.8596
   1266.0391    111.1039
   1582.5488    113.0088
   2025.6625    114.7149
   2532.0782    115.8924
   3165.0977    116.7226
   3988.0231    117.2161
   5064.1563    117.3342
   6330.1954    117.0845
   7976.0462    116.4593
  10128.3126    115.4208
  12660.3908    114.0907
  15825.4884    112.4127
  20256.6252    110.1513
  25320.7815    107.7408
ZONE T="time=        5.26 engine buzzsaw noise" I=31 F=POINT
     25.3208      4.0103
     31.6510      4.0103
     39.8802      4.0103
     50.6416      4.0103
     63.3020      4.0103
     79.7605      4.0103
    101.2831      4.0103
    126.6039      4.0103
    158.2549      4.0103
    202.5663      4.0103
    253.2078      4.0103
    316.5098      4.0103
    398.8023      4.0103
    506.4156      4.0103
    633.0195      4.0103
    797.6046      4.0103
   1012.8313      4.0103
   1266.0391      4.0103
   1582.5488      4.0103
   2025.6625      4.0103
   2532.0782      4.0103
   3165.0977      4.0103
   3988.0231      4.0103
   5064.1563      4.0103
   6330.1954      4.0103
   7976.0462      4.0103
  10128.3126      4.0103
  12660.3908      4.0103
  15825.4884      4.0103
  20256.6252      4.0103
  25320.7815      4.0103
ZONE T="time=        5.26  fan harmonics" I=5 F=POINT
   1929.6843    117.0635
   3859.3686    117.9239
   5789.0529    107.3312
   7718.7372    101.3312
   9648.4215     95.3312
##########################################
# retarded time	=      5.3328
# source time	=      0.9000
# speed of sound=    342.2497
# xpos	=  -1428.0000
# ypos	=      0.1000
# alt	=    513.5000
# xobs  =      0.0000
# yobs  =      0.0000
# zobs  =      1.2000
# phix  =     17.6519
# phiy  =      0.0000
# dist  =   1517.1141
# distxy=   1428.0000
# vel   =     74.8000
# n1    =     50.8257
##########################################
ZONE T="time=        5.33 airframe broadband" I=31 F=POINT
     25.3073    115.0380
     31.6341    115.2261
     39.8590    115.4505
     50.6146    115.7172
     63.2683    116.0017
     79.7180    116.3352
    101.2292    116.7245
    126.5365    117.1312
    158.1707    117.5012
    202.4584    117.6337
    253.0731    117.5765
    316.3413    117.2872
    398.5901    116.7778
    506.1461    116.0767
    632.6826    115.3637
    797.1801    114.7497
   1012.2922    114.1641
   1265.3653    113.5346
   1581.7066    112.9774
   2024.5845    112.1197
   2530.7306    111.0791
   3163.4132    110.0453
   3985.9007    108.9809
   5061.4611    107.8865
   6326.8264    106.8690
   7971.8013    105.8192
  10122.9223    104.7380
  12653.6529    103.7312
  15817.0661    102.7271
  20245.8446    101.6191
  25307.3057    100.6198
ZONE T="time=        5.33 engine broadband (no buzzsaw)" I=31 F=POINT
     25.3073     92.8570
     31.6341     92.8570
     39.8590     92.8570
     50.6146     92.8570
     63.2683     92.8570
     79.7180     93.2150
    101.2292     93.4279
    126.5365     93.4271
    158.1707     93.3638
    202.4584     93.2770
    253.0731     93.4926
    316.3413     94.6086
    398.5901     96.9487
    506.1461    100.0952
    632.6826    103.1518
    797.1801    106.1357
   1012.2922    108.8991
   1265.3653    111.1435
   1581.7066    113.0484
   2024.5845    114.7545
   2530.7306    115.9320
   3163.4132    116.7622
   3985.9007    117.2557
   5061.4611    117.3737
   6326.8264    117.1240
   7971.8013    116.4987
  10122.9223    115.4602
  12653.6529    114.1300
  15817.0661    112.4521
  20245.8446    110.1906
  25307.3057    107.7801
ZONE T="time=        5.33 engine buzzsaw noise" I=31 F=POINT
     25.3073      4.0103
     31.6341      4.0103
     39.8590      4.0103
     50.6146      4.0103
     63.2683      4.0103
     79.7180      4.0103
    101.2292      4.0103
    126.5365      4.0103
    158.1707      4.0103
    202.4584      4.0103
    253.0731      4.0103
    316.3413      4.0103
    398.5901      4.0103
    506.1461      4.0103
    632.6826      4.0103
    797.1801      4.0103
   1012.2922      4.0103
   1265.3653      4.0103
   1581.7066      4.0103
   2024.5845      4.0103
   2530.7306      4.0103
   3163.4132      4.0103
   3985.9007      4.0103
   5061.4611      4.0103
   6326.8264      4.0103
   7971.8013      4.0103
  10122.9223      4.0103
  12653.6529      4.0103
  15817.0661      4.0103
  20245.8446      4.0103
  25307.3057      4.0103
ZONE T="time=        5.33  fan harmonics" I=5 F=POINT
   1928.6219    117.1303
   3857.2439    117.9384
   5785.8658    107.3899
   7714.4877    101.3899
   9643.1097     95.3899
##########################################
# retarded time	=      5.4067
# source time	=      1.0000
# speed of sound=    342.2506
# xpos	=  -1418.7000
# ypos	=      0.1000
# alt	=    513.0000
# xobs  =      0.0000
# yobs  =      0.0000
# zobs  =      1.2000
# phix  =     18.0600
# phiy  =      0.0000
# dist  =   1508.1939
# distxy=   1418.7000
# vel   =     74.8000
# n1    =     50.8250
##########################################
ZONE T="time=        5.41 airframe broadband" I=31 F=POINT
     25.2931    115.0135
     31.6163    115.2011
     39.8366    115.4249
     50.5862    115.6913
     63.2327    115.9756
     79.6732    116.3090
    101.1723    116.6984
    126.4654    117.1054
    158.0817    117.4756
    202.3446    117.6073
    252.9308    117.5486
    316.1635    117.2574
    398.3660    116.7486
    505.8615    116.0505
    632.3269    115.3418
    796.7319    114.7317
   1011.7231    114.1493
   1264.6539    113.5219
   1580.8173    112.9664
   2023.4462    112.1099
   2529.3077    111.0699
   3161.6347    110.0366
   3983.6597    108.9727
   5058.6155    107.8787
   6323.2693    106.8614
   7967.3194    105.8120
  10117.2310    104.7310
  12646.5387    103.7244
  15808.1734    102.7204
  20234.4619    101.6125
  25293.0774    100.6133
ZONE T="time=        5.41 engine broadband (no buzzsaw)" I=31 F=POINT
     25.2931     92.8574
     31.6163     92.8574
     39.8366     92.8574
     50.5862     92.8574
     63.2327     92.8574
     79.6732     93.2152
    101.1723     93.4279
    126.4654     93.4271
    158.0817     93.3642
    202.3446     93.2795
    252.9308     93.5012
    316.1635     94.6280
    398.3660     96.9791
    505.8615    100.1319
    632.3269    103.1911
    796.7319    106.1760
   1011.7231    108.9397
   1264.6539    111.1843
   1580.8173    113.0892
   2023.4462    114.7954
   2529.3077    115.9728
   3161.6347    116.8030
   3983.6597    117.2964
   5058.6155    117.4145
   6323.2693    117.1647
   7967.3194    116.5394
  10117.2310    115.5009
  12646.5387    114.1707
  15808.1734    112.4927
  20234.4619    110.2312
  25293.0774    107.8207
ZONE T="time=        5.41 engine buzzsaw noise" I=31 F=POINT
     25.2931      4.0103
     31.6163      4.0103
     39.8366      4.0103
     50.5862      4.0103
     63.2327      4.0103
     79.6732      4.0103
    101.1723      4.0103
    126.4654      4.0103
    158.0817      4.0103
    202.3446      4.0103
    252.9308      4.0103
    316.1635      4.0103
    398.3660      4.0103
    505.8615      4.0103
    632.3269      4.0103
    796.7319      4.0103
   1011.7231      4.0103
   1264.6539      4.0103
   1580.8173      4.0103
   2023.4462      4.0103
   2529.3077      4.0103
   3161.6347      4.0103
   3983.6597      4.0103
   5058.6155      4.0103
   6323.2693      4.0103
   7967.3194      4.0103
  10117.2310      4.0103
  12646.5387      4.0103
  15808.1734      4.0103
  20234.4619      4.0103
  25293.0774      4.0103
ZONE T="time=        5.41  fan harmonics" I=5 F=POINT
   1927.5082    117.1994
   3855.0163    117.9535
   5782.5245    107.4506
   7710.0326    101.4506
   9637.5408     95.4506
##########################################
# retarded time	=      5.4806
# source time	=      1.1000
# speed of sound=    342.2516
# xpos	=  -1409.4000
# ypos	=      0.1000
# alt	=    512.5000
# xobs  =      0.0000
# yobs  =      0.0000
# zobs  =      1.2000
# phix  =     17.8559
# phiy  =      0.0000
# dist  =   1499.2785
# distxy=   1409.4000
# vel   =     74.8000
# n1    =     50.8242
##########################################
ZONE T="time=        5.48 airframe broadband" I=31 F=POINT
     25.3002    115.0256
     31.6253    115.2135
     39.8478    115.4375
     50.6004    115.7041
     63.2505    115.9884
     79.6957    116.3219
    101.2008    116.7112
    126.5011    117.1181
    158.1263    117.4882
    202.4017    117.6203
    253.0021    117.5623
    316.2526    117.2721
    398.4783    116.7630
    506.0042    116.0635
    632.5053    115.3526
    796.9566    114.7406
   1012.0084    114.1566
   1265.0105    113.5282
   1581.2632    112.9718
   2024.0169    112.1147
   2530.0211    111.0744
   3162.5263    110.0409
   3984.7832    108.9768
   5060.0422    107.8826
   6325.0527    106.8652
   7969.5664    105.8155
  10120.0843    104.7345
  12650.1054    103.7278
  15812.6317    102.7238
  20240.1686    101.6158
  25300.2108    100.6165
ZONE T="time=        5.48 engine broadband (no buzzsaw)" I=31 F=POINT
     25.3002     92.8558
     31.6253     92.8558
     39.8478     92.8558
     50.6004     92.8558
     63.2505     92.8558
     79.6957     93.2136
    101.2008     93.4264
    126.5011     93.4256
    158.1263     93.3625
    202.4017     93.2768
    253.0021     93.4957
    316.2526     94.6175
    398.4783     96.9635
    506.0042    100.1134
    632.5053    103.1713
    796.9566    106.1557
   1012.0084    108.9193
   1265.0105    111.1637
   1581.2632    113.0686
   2024.0169    114.7747
   2530.0211    115.9521
   3162.5263    116.7823
   3984.7832    117.2757
   5060.0422    117.3937
   6325.0527    117.1440
   7969.5664    116.5186
  10120.0843    115.4801
  12650.1054    114.1499
  15812.6317    112.4719
  20240.1686    110.2103
  25300.2108    107.7998
ZONE T="time=        5.48 engine buzzsaw noise" I=31 F=POINT
     25.3002      4.0103
     31.6253      4.0103
     39.8478      4.0103
     50.6004      4.0103
     63.2505      4.0103
     79.6957      4.0103
    101.2008      4.0103
    126.5011      4.0103
    158.1263      4.0103
    202.4017      4.0103
    253.0021      4.0103
    316.2526      4.0103
    398.4783      4.0103
    506.0042      4.0103
    632.5053      4.0103
    796.9566      4.0103
   1012.0084      4.0103
   1265.0105      4.0103
   1581.2632      4.0103
   2024.0169      4.0103
   2530.0211      4.0103
   3162.5263      4.0103
   3984.7832      4.0103
   5060.0422      4.0103
   6325.0527      4.0103
   7969.5664      4.0103
  10120.0843      4.0103
  12650.1054      4.0103
  15812.6317      4.0103
  20240.1686      4.0103
  25300.2108      4.0103
ZONE T="time=        5.48  fan harmonics" I=5 F=POINT
   1928.0223    117.1638
   3856.0446    117.9449
   5784.0669    107.4192
   7712.0892    101.4192
   9640.1115     95.4192
##########################################
# retarded time	=      5.5545
# source time	=      1.2000
# speed of sound=    342.2527
# xpos	=  -1400.1000
# ypos	=      0.1000
# alt	=    511.9000
# xobs  =      0.0000
# yobs  =      0.0000
# zobs  =      1.2000
# phix  =     17.7790
# phiy  =      0.0000
# dist  =   1490.3337
# distxy=   1400.1000
# vel   =     74.8000
# n1    =     50.8233
##########################################
ZONE T="time=        5.55 airframe broadband" I=31 F=POINT
     25.3028    115.0302
     31.6285    115.2181
     39.8520    115.4423
     50.6057    115.7090
     63.2571    115.9933
     79.7039    116.3268
    101.2113    116.7161
    126.5142    117.1229
    158.1427    117.4929
    202.4227    117.6251
    253.0284    117.5675
    316.2854    117.2776
    398.5197    116.7685
    506.0567    116.0683
    632.5709    115.3567
    797.0393    114.7439
   1012.1134    114.1593
   1265.1418    113.5305
   1581.4272    112.9738
   2024.2268    112.1165
   2530.2835    111.0761
   3162.8544    110.0425
   3985.1966    108.9782
   5060.5671    107.8840
   6325.7089    106.8665
   7970.3932    105.8169
  10121.1342    104.7357
  12651.4177    103.7290
  15814.2722    102.7249
  20242.2684    101.6169
  25302.8355    100.6176
ZONE T="time=        5.55 engine broadband (no buzzsaw)" I=31 F=POINT
     25.3028     92.8544
     31.6285     92.8544
     39.8520     92.8544
     50.6057     92.8544
     63.2571     92.8544
     79.7039     93.2122
    101.2113     93.4250
